id,name,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
90870,b'Pelican Cove',b'2011',b'1',b'5',b'30',b'1062',b'6.74748',b'6.05109',b'64',b'1.8125'
32993,b'Mustang',b'2007',b'2',b'5',b'15',b'64',b'5.02812',b'5.47336',b'10',b'1.3'
22677,"b""Stalin's War""",b'2010',b'2',b'2',b'240',b'292',b'6.78822',b'5.71216',b'48',b'3.1458'
9150,b'Dark December',b'1979',b'1',b'2',b'120',b'62',b'7.3',b'5.55702',b'14',b'3.2143'
8459,b'Schwarzarbeit',b'2003',b'3',b'5',b'45',b'79',b'5.67405',b'5.50994',b'4',b'1.75'
2106,b'Imperium: 3rd Millennium',b'2001',b'2',b'2',b'120',b'146',b'5.30616',b'5.4666',b'21',b'3.0476'
179719,b'Risk: Game of Thrones',b'2015',b'2',b'7',b'240',b'994',b'6.80358',b'5.89855',b'38',b'2.8421'
174192,b'Daxu',b'2015',b'2',b'2',b'30',b'287',b'6.5376',b'5.68091',b'8',b'1.375'
196326,b'Love Letter Premium',b'2016',b'2',b'8',b'30',b'3382',b'7.50274',b'6.8877',b'61',b'1.2951'
4245,b'Asteroid Zero-Four',b'1979',b'2',b'2',b'60',b'52',b'6.15385',b'5.51516',b'7',b'2.5714'
87929,b'NinjaGO',b'2011',b'2',b'2',b'15',b'43',b'4.9186',b'5.48144',b'6',b'1'
1962,b'Tribond',b'1989',b'2',b'15',b'60',b'1162',b'5.25748',b'5.36257',b'81',b'1.3704'
113819,b'Tenzi',b'2011',b'2',b'4',b'5',b'749',b'4.81573',b'5.22748',b'32',b'1'
8329,"b'Pegasus Bridge: The Beginning of D-Day  June 6, 1944'",b'1988',b'1',b'2',b'120',b'118',b'5.86525',b'5.52655',b'13',b'2.6154'
118001,b'Kleine Fotosafari',b'2012',b'2',b'4',b'20',b'84',b'5.73333',b'5.51412',b'7',b'1.2857'
193927,b'Vanuatu (second edition)',b'2016',b'2',b'5',b'90',b'848',b'7.53978',b'6.27521',b'33',b'3.3939'
7948,b'Dark Ages',b'1971',b'2',b'2',b'120',b'40',b'6.075',b'5.51159',b'11',b'2.5455'
120886,b'Quicksilver',b'2013',b'2',b'6',b'90',b'126',b'6.10153',b'5.54246',b'14',b'1.8571'
181279,b'Fury of Dracula (Third/Fourth Edition)',b'2015',b'2',b'5',b'180',b'9649',b'7.54521',b'7.24673',b'242',b'3.2066'
128882,b'The Resistance: Avalon',b'2012',b'5',b'10',b'30',b'24394',b'7.6055',b'7.43684',b'846',b'1.7778'
5367,b'Chomp!',b'2000',b'2',b'5',b'20',b'289',b'4.73408',b'5.35944',b'22',b'1.0455'
163172,b'Waterloo 1815: Fallen Eagles',b'2015',b'1',b'3',b'720',b'164',b'8.3378',b'5.75531',b'25',b'2.92'
205478,b'Covenant',b'2016',b'3',b'5',b'45',b'58',b'6.55276',b'5.53573',b'0',b'0'
3549,b'Superpower',b'1986',b'2',b'6',b'90',b'131',b'4.30435',b'5.3971',b'10',b'2.1'
40834,b'Dominion: Intrigue',b'2009',b'2',b'4',b'30',b'28290',b'7.73264',b'7.59277',b'1288',b'2.4317'
105624,"b""Poseidon's Kingdom""",b'2011',b'2',b'4',b'60',b'755',b'6.83544',b'5.98624',b'43',b'2.3953'
194388,b'Blacksmith Brothers',b'2016',b'2',b'4',b'90',b'55',b'7.14818',b'5.55548',b'5',b'2.2'
55250,b'El Bazar',b'2007',b'3',b'8',b'30',b'59',b'6.82797',b'5.55029',b'7',b'1'
5707,b'Cuckoo Zoo',b'2002',b'2',b'10',b'20',b'149',b'5.63886',b'5.51987',b'17',b'1'
9475,b'Backwords',b'1988',b'3',b'8',b'45',b'74',b'5.04905',b'5.47311',b'5',b'1.4'
452,b'Mummy Rummy',b'1994',b'2',b'5',b'30',b'166',b'5.0813',b'5.44465',b'20',b'1.2'
34373,b'Tiki Topple',b'2008',b'2',b'4',b'20',b'1774',b'6.45347',b'6.0343',b'153',b'1.3072'
23707,b'Venus Needs Men',b'2006',b'2',b'6',b'90',b'97',b'6.08093',b'5.53325',b'16',b'1.875'
195484,b'Ominoes',b'2016',b'2',b'4',b'15',b'227',b'6.7374',b'5.66833',b'9',b'1.4444'
202513,b'BattleGoats',b'2016',b'2',b'6',b'30',b'66',b'7.19151',b'5.56938',b'7',b'1.1429'
12436,b'Ogre Bash',b'2004',b'2',b'6',b'30',b'37',b'4.02703',b'5.46413',b'4',b'1'
10996,b'Zarcana',b'1996',b'2',b'4',b'45',b'42',b'6.85595',b'5.54231',b'10',b'2.8'
70512,b'Luna',b'2010',b'1',b'4',b'100',b'4097',b'7.34144',b'6.88667',b'287',b'3.3449'
4357,b'Aspern-Essling',b'1999',b'1',b'2',b'240',b'93',b'6.71613',b'5.57124',b'16',b'3.25'
8429,b'Combat Command',b'1971',b'2',b'2',b'120',b'37',b'4.9973',b'5.48238',b'8',b'2.5'
31808,b'GUBS: A Game of Wit and Luck',b'2007',b'2',b'6',b'20',b'1269',b'6.01984',b'5.69584',b'86',b'1.3953'
2172,b'Stealth Chess',b'1997',b'2',b'2',b'30',b'41',b'5.78049',b'5.50558',b'2',b'2'
9246,"b""L'Attaque""",b'1909',b'2',b'2',b'20',b'46',b'6.07065',b'5.51392',b'3',b'1.3333'
41066,b'Virgin Queen',b'2012',b'2',b'6',b'420',b'1479',b'8.04989',b'6.79622',b'189',b'4.3968'
155465,b'Peasant Buffet',b'2015',b'2',b'7',b'15',b'74',b'5.35892',b'5.48517',b'6',b'1.3333'
858,b'Blindes Huhn',b'1997',b'3',b'6',b'20',b'73',b'5.33425',b'5.49265',b'7',b'1.1429'
38548,b'Fast Flowing Forest Fellers',b'2008',b'2',b'5',b'30',b'1537',b'6.50928',b'6.04087',b'137',b'1.5255'
