id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
2297,boardgame,b'U.S. Patent No. 1',b'2001',b'3',b'6',b'60',b'60',b'60',b'10',b'291',b'5.2643',b'5.45401',b'780',b'40',b'13',b'25',b'113',b'33',b'1.5758'
12029,boardgame,b'The World of Micronauts Game',b'1978',b'2',b'4',b'30',b'30',b'30',b'7',b'12',b'4.20833',b'0',b'28',b'3',b'6',b'11',b'9',b'2',b'1'
5470,boardgame,b'Down the Tubes',b'1982',b'2',b'6',b'10',b'10',b'10',b'8',b'11',b'5.11455',b'0',b'50',b'2',b'2',b'4',b'7',b'3',b'1.6667'
7534,boardgame,b'Cabal',b'1979',b'2',b'2',b'20',b'20',b'20',b'12',b'6',b'4.83333',b'0',b'9',b'2',b'1',b'2',b'7',b'1',b'2'
27282,boardgame,b'Presidentti-peli',b'0',b'2',b'6',b'120',b'120',b'120',b'0',b'23',b'3.50435',b'0',b'15',b'1',b'1',b'1',b'6',b'4',b'1'
64011,boardgame,b'Pacific Islands Campaign: Guam',b'2010',b'1',b'2',b'0',b'0',b'0',b'0',b'7',b'7.42857',b'0',b'37',b'1',b'2',b'5',b'2',b'2',b'2.5'
158168,boardgame,b'NHL Power Play Team-Building Card Game',b'2014',b'2',b'4',b'30',b'30',b'30',b'15',b'256',b'6.87648',b'5.69888',b'444',b'32',b'16',b'46',b'66',b'15',b'1.9333'
3939,boardgame,b'Calculate!',b'1979',b'2',b'4',b'30',b'30',b'30',b'0',b'14',b'6.14286',b'0',b'48',b'2',b'9',b'22',b'13',b'0',b'0'
121331,boardgame,b'Robot Factory',b'0',b'2',b'4',b'45',b'45',b'45',b'8',b'10',b'7.13',b'0',b'3',b'0',b'2',b'6',b'7',b'1',b'2'
182196,boardgame,b'Das Geheimnis der Zauberer',b'2015',b'2',b'4',b'30',b'30',b'30',b'6',b'20',b'5.815',b'0',b'35',b'1',b'3',b'13',b'5',b'2',b'1.5'
12099,boardgame,b'Think-It Link-It',b'1992',b'1',b'0',b'10',b'10',b'10',b'8',b'7',b'5.57143',b'0',b'34',b'3',b'0',b'0',b'5',b'0',b'0'
91523,boardgame,b'Mondo',b'2011',b'1',b'4',b'30',b'20',b'30',b'8',b'2352',b'6.53226',b'6.13513',b'2818',b'136',b'110',b'399',b'517',b'128',b'1.8047'
26401,boardgame,b'Gettysburg: Turning Point 1863',b'2014',b'2',b'2',b'0',b'0',b'0',b'12',b'6',b'6.5',b'0',b'23',b'2',b'5',b'14',b'5',b'1',b'4'
4963,boardgame,b'Enemy Agent',b'1975',b'2',b'2',b'60',b'60',b'60',b'9',b'28',b'6.17143',b'0',b'80',b'8',b'7',b'15',b'22',b'4',b'2.25'
27061,boardgame,b'Mosquito',b'2009',b'2',b'4',b'10',b'10',b'10',b'6',b'27',b'5.72222',b'0',b'47',b'2',b'0',b'2',b'8',b'1',b'1'
185187,boardgame,b'No Fish!',b'2016',b'2',b'6',b'30',b'15',b'30',b'5',b'24',b'6.10417',b'0',b'75',b'6',b'0',b'2',b'10',b'3',b'1.3333'
24790,boardgame,b'The Napoleonic Wars',b'1983',b'2',b'6',b'0',b'0',b'0',b'12',b'10',b'5.26',b'0',b'38',b'3',b'0',b'2',b'7',b'1',b'3'
19351,boardgame,"b'Dark Millennium: The Warhammer 40,000 Collectible Card Game'",b'2005',b'2',b'2',b'45',b'45',b'45',b'10',b'96',b'5.90312',b'5.5279',b'133',b'8',b'7',b'25',b'31',b'10',b'2.2'
111341,boardgame,b'The Great Zimbabwe',b'2012',b'2',b'5',b'150',b'90',b'150',b'14',b'2840',b'7.77528',b'7.0472',b'3335',b'22',b'576',b'1476',b'725',b'185',b'3.6919'
173245,boardgame,b'Final Attack!',b'2015',b'1',b'5',b'30',b'20',b'30',b'12',b'6',b'6.75',b'0',b'5',b'0',b'4',b'7',b'4',b'2',b'3'
72050,boardgame,"b""Freebooter's Fate""",b'2010',b'2',b'16',b'60',b'60',b'60',b'10',b'58',b'8.02586',b'5.58451',b'134',b'5',b'2',b'20',b'20',b'0',b'0'
155912,boardgame,b'Monopoly: Marvel Comics Collectors Edition',b'2012',b'2',b'6',b'100',b'100',b'100',b'8',b'28',b'5.33929',b'0',b'132',b'3',b'1',b'3',b'8',b'1',b'1'
41894,boardgame,b'Activity professional!',b'1992',b'3',b'16',b'45',b'45',b'45',b'12',b'23',b'5.26087',b'0',b'68',b'3',b'0',b'0',b'5',b'0',b'0'
223360,boardgame,b'Cobardes!',b'2017',b'2',b'2',b'15',b'5',b'15',b'10',b'192',b'6.21424',b'5.58289',b'317',b'10',b'1',b'10',b'31',b'8',b'1.25'
122186,boardgame,"b""Albert's Insomnia""",b'2010',b'1',b'12',b'30',b'30',b'30',b'6',b'7',b'6.57143',b'0',b'17',b'0',b'0',b'0',b'3',b'0',b'0'
190115,boardgame,b'King of New Tokyo',b'2015',b'3',b'4',b'0',b'30',b'0',b'0',b'32',b'7.49375',b'5.54161',b'135',b'2',b'2',b'15',b'7',b'0',b'0'
11093,boardgame,b'Zorndorf',b'1996',b'1',b'2',b'360',b'360',b'360',b'12',b'101',b'7.47158',b'5.61595',b'426',b'7',b'14',b'26',b'43',b'24',b'4'
10183,boardgame,b'Napoleon at Leipzig',b'1979',b'1',b'3',b'300',b'60',b'300',b'12',b'231',b'7.41072',b'5.75989',b'718',b'38',b'17',b'52',b'164',b'41',b'2.9024'
8461,boardgame,b'First Team: Vietnam',b'1986',b'1',b'1',b'120',b'120',b'120',b'12',b'63',b'6.35952',b'5.53787',b'305',b'12',b'22',b'61',b'47',b'11',b'3.0909'
20915,boardgame,b'18Kaas',b'1995',b'3',b'6',b'240',b'240',b'240',b'14',b'22',b'7.29545',b'0',b'31',b'0',b'17',b'26',b'13',b'1',b'4'
15036,boardgame,b'Cross-Eyed',b'2004',b'2',b'6',b'30',b'30',b'30',b'0',b'7',b'5.92857',b'0',b'18',b'0',b'1',b'0',b'5',b'1',b'1'
142132,boardgame,b'Dominion Big Box (German)',b'2011',b'2',b'4',b'30',b'30',b'30',b'8',b'61',b'7.76066',b'5.59588',b'165',b'1',b'0',b'11',b'15',b'2',b'2.5'
5786,boardgame,b'Star Trek: The Enterprise 4 Encounter',b'1985',b'2',b'4',b'60',b'60',b'60',b'10',b'60',b'5.9725',b'5.51421',b'177',b'15',b'14',b'23',b'25',b'5',b'2.2'
132461,boardgame,b'Blekoteco',b'2012',b'3',b'8',b'30',b'30',b'30',b'8',b'28',b'6.96071',b'0',b'33',b'0',b'0',b'3',b'7',b'4',b'1.25'
42444,boardgame,"b""Batt'l Kha'os""",b'2009',b'2',b'2',b'30',b'30',b'30',b'10',b'667',b'6.32378',b'5.763',b'1209',b'139',b'14',b'97',b'259',b'48',b'1.6458'
38665,boardgame,"b""Don't Say It""",b'2008',b'4',b'0',b'0',b'0',b'0',b'6',b'31',b'5.22581',b'5.49137',b'97',b'2',b'0',b'1',b'10',b'1',b'2'
193867,boardgame,b'1822: The Railways of Great Britain',b'2016',b'3',b'7',b'420',b'300',b'420',b'12',b'255',b'8.37918',b'5.96044',b'261',b'1',b'125',b'294',b'95',b'13',b'4.3846'
14468,boardgame,"b""Blood & Iron: Bismarck's Wars for Empire""",b'1993',b'2',b'2',b'60',b'60',b'60',b'12',b'41',b'6.43902',b'5.52271',b'170',b'9',b'6',b'18',b'25',b'10',b'3.2'
123056,boardgame,b'San Guo Sha: Tomb of Cao Cao',b'2011',b'2',b'5',b'20',b'20',b'20',b'8',b'14',b'5.14286',b'0',b'10',b'0',b'1',b'1',b'2',b'1',b'1'
10361,boardgame,b'Dead of Winter (first edition)',b'1989',b'2',b'2',b'360',b'360',b'360',b'14',b'42',b'6.97024',b'5.54114',b'204',b'14',b'0',b'8',b'35',b'7',b'4.4286'
213460,boardgame,b'Unlock! Escape Adventures',b'2017',b'2',b'6',b'75',b'45',b'75',b'10',b'3941',b'7.49163',b'6.96661',b'5825',b'168',b'147',b'1005',b'628',b'53',b'2.2453'
41428,boardgame,b'Consensus Movie Edition',b'2009',b'3',b'8',b'30',b'30',b'30',b'17',b'36',b'6.80694',b'5.52993',b'78',b'4',b'4',b'12',b'15',b'2',b'2'
9561,boardgame,b'The Nancy Drew Mystery Game',b'1957',b'2',b'4',b'45',b'45',b'45',b'10',b'12',b'5.23333',b'0',b'45',b'1',b'3',b'10',b'9',b'1',b'1'
35801,boardgame,b'Lungarno',b'2008',b'2',b'5',b'45',b'45',b'45',b'8',b'383',b'6.12483',b'5.61762',b'670',b'48',b'10',b'33',b'140',b'44',b'2.1818'
38844,boardgame,b'Pilkkipeli',b'1980',b'2',b'6',b'60',b'60',b'60',b'0',b'11',b'3.72727',b'0',b'5',b'0',b'0',b'0',b'7',b'0',b'0'
