avg_rate,geek_rate,id,num_votes,title
7.22,7.107,172,21071,Shop
7.86,7.104,204305,3066,Shop
7.43,7.104,55670,6617,Shop
7.97,7.098,123123,2747,Shop
7.28,7.096,15987,35227,Shop
7.51,7.096,256226,5704,Shop
7.30,7.095,66188,11067,Shop
7.54,7.093,166669,4896,Shop
7.68,7.092,192458,4100,Shop
8.12,7.091,266810,2247,Shop
7.96,7.091,40354,2538,Shop
7.44,7.089,96913,6267,Shop
7.41,7.089,79828,7059,Shop
7.46,7.088,105134,7008,Shop
7.36,7.086,219513,8695,Shop
7.48,7.084,257501,7431,Shop
7.70,7.084,232405,4089,Shop
7.56,7.078,246784,4631,Shop
7.59,7.078,195539,4733,Shop
7.33,7.077,66362,8282,Shop
7.32,7.076,176396,9620,Shop
7.22,7.076,100901,19140,Shop
7.77,7.075,151347,3430,Shop
7.16,7.068,50,33605,Shop
7.32,7.066,194594,10935,Shop
7.37,7.066,25417,8988,Shop
7.49,7.066,18833,5331,Shop
7.39,7.065,138161,9666,Shop
7.24,7.063,63888,13532,Shop
7.71,7.062,128996,3374,Shop
7.21,7.061,27162,17664,Shop
7.43,7.060,11170,7552,Shop
7.18,7.059,157969,26024,Shop
7.33,7.058,5404,8259,Shop
7.56,7.056,250458,4434,Shop
7.32,7.055,150658,8439,Shop
7.48,7.053,137408,5095,Shop
7.62,7.053,165722,3867,Shop
7.99,7.051,146791,3103,Shop
7.50,7.050,246192,4988,Shop
7.95,7.050,224783,2658,Shop
7.46,7.049,128671,6540,Shop
8.40,7.047,256960,1649,Shop
7.54,7.047,712,5059,Shop
7.78,7.047,111341,2839,Shop
7.54,7.046,161614,4539,Shop
7.18,7.045,136063,22613,Shop
7.31,7.045,17226,11049,Shop
7.31,7.045,83330,12257,Shop
7.50,7.044,242302,4890,Shop
7.58,7.044,229220,4064,Shop
8.02,7.042,209418,2469,Shop
7.38,7.039,65781,6076,Shop
8.03,7.038,215341,2367,Shop
7.64,7.037,95527,3503,Shop
7.74,7.034,875,2880,Shop
7.20,7.034,34219,13731,Shop
7.37,7.033,177639,6507,Shop
7.26,7.030,102652,13843,Shop
8.03,7.027,187617,2203,Shop
7.43,7.027,192153,6600,Shop
7.35,7.026,162082,6581,Shop
7.44,7.026,58421,4908,Shop
7.37,7.024,105551,6802,Shop
7.12,7.024,98778,34359,Shop
8.08,7.023,170771,2768,Shop
7.90,7.023,183562,2564,Shop
7.98,7.023,62222,2355,Shop
7.74,7.021,36553,2856,Shop
7.31,7.019,155987,8368,Shop
7.59,7.019,62227,3960,Shop
7.15,7.017,158899,20870,Shop
7.29,7.016,97786,9065,Shop
7.17,7.016,13,90403,Shop
7.43,7.015,184921,5441,Shop
7.23,7.014,171668,10735,Shop
7.24,7.010,150,9003,Shop
7.28,7.009,133848,8427,Shop
7.50,7.008,206941,4206,Shop
7.18,7.007,147949,18578,Shop
7.23,7.006,127398,12768,Shop
7.59,7.005,119506,3488,Shop
7.18,7.004,43570,14261,Shop
7.25,7.001,133038,11524,Shop
7.32,7.001,90419,6506,Shop
7.29,6.999,47,7503,Shop
7.50,6.999,42052,4243,Shop
7.20,6.999,218603,12711,Shop
7.19,6.997,125618,11475,Shop
7.43,6.994,128271,4582,Shop
7.13,6.993,15062,24237,Shop
7.09,6.992,478,45279,Shop
7.20,6.988,92415,11434,Shop
7.69,6.987,31999,2910,Shop
7.75,6.987,156546,2788,Shop
7.30,6.986,194607,7417,Shop
7.70,6.986,73171,3126,Shop
7.22,6.985,34119,10957,Shop
7.26,6.984,27173,7644,Shop
7.30,6.983,475,6818,Shop
7.25,6.982,163968,7761,Shop
7.31,6.981,372,6346,Shop
7.55,6.981,3685,3691,Shop
7.21,6.981,191862,9674,Shop
7.64,6.981,244711,3080,Shop
7.48,6.980,193042,4292,Shop
7.13,6.980,9674,14830,Shop
7.33,6.979,20437,5950,Shop
7.71,6.978,192836,2854,Shop
8.33,6.976,241451,1586,Shop
7.40,6.975,215311,4989,Shop
7.62,6.972,205359,3998,Shop
7.64,6.972,169255,3733,Shop
7.34,6.971,221965,5775,Shop
7.11,6.971,21790,17096,Shop
7.76,6.969,160010,3507,Shop
7.23,6.968,141572,7920,Shop
7.34,6.967,22827,6816,Shop
7.23,6.966,6472,9925,Shop
7.09,6.965,18,21650,Shop
7.18,6.965,155703,11820,Shop
7.20,6.964,97842,8409,Shop
7.34,6.964,39351,5213,Shop
7.45,6.961,140603,4174,Shop
7.23,6.960,15363,8234,Shop
7.27,6.960,39938,6507,Shop
7.22,6.959,27746,8154,Shop
7.83,6.954,257499,2893,Shop
7.24,6.952,31730,7056,Shop
7.07,6.952,133473,29121,Shop
7.45,6.952,2346,4192,Shop
7.31,6.952,232043,6104,Shop
7.18,6.950,180974,10264,Shop
7.43,6.948,119432,4139,Shop
7.55,6.948,181530,4132,Shop
7.13,6.948,209778,12474,Shop
7.44,6.947,265736,4410,Shop
7.79,6.947,260428,2452,Shop
8.05,6.943,144189,1892,Shop
7.70,6.941,144797,2654,Shop
7.04,6.941,11,35349,Shop
7.29,6.940,159508,5915,Shop
7.57,6.940,151022,3192,Shop
8.01,6.939,17405,1790,Shop
7.05,6.939,12942,18528,Shop
7.47,6.938,42776,4454,Shop
7.54,6.937,1513,3790,Shop
7.19,6.937,113924,15099,Shop
7.49,6.936,9625,3652,Shop
7.66,6.935,236191,2694,Shop
7.15,6.934,156009,10666,Shop
7.58,6.934,245934,3099,Shop
7.40,6.931,116998,4461,Shop
