id,details.name,attributes.boardgamecategory,attributes.boardgamemechanic,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
10214,The Hundred Years War,"Medieval,Wargame","Area Control / Area Influence,Area Movement,Hex-and-Counter,Simulation",1995,2,2,180,44,5.89318,5.50617,7,3.4286
10221,Over the Top! Four Battles from World War One,"Wargame,World War I","Dice Rolling,Hex-and-Counter,Simulation",1997,2,2,120,52,6.52885,5.53474,7,2.1429
10226,Thunder at the Crossroads (second edition),"American Civil War,Wargame","Dice Rolling,Hex-and-Counter,Simulation",1993,2,2,360,172,7.7149,5.72845,30,3.4333
10230,Santa Maria Infante: On the Road to Rome 1944,"Wargame,World War II","Hex-and-Counter,Secret Unit Deployment,Simulation",2004,2,2,120,42,7.65476,5.55459,5,4.2
10234,¡Arriba España!,"Civil War,Print & Play,Wargame","Area Movement,Simulation",1997,2,4,120,107,6.50832,5.5654,19,2.7895
10236,Byzantium,"Educational,Medieval,Wargame",Area Movement,1996,2,4,180,51,6.56961,5.5344,10,3.1
10245,Bloody Omaha: D-Day 1944,"Wargame,World War II","Hex-and-Counter,Secret Unit Deployment,Simulation",2009,2,2,180,44,7.86818,5.56818,11,4.6364
10246,Darkest December: Battle of the Bulge 1944,"Wargame,World War II","Hex-and-Counter,Secret Unit Deployment,Simulation",2004,2,2,180,48,7.56667,5.55735,9,3.7778
10248,Panther Line: Army Group North 1944,"Wargame,World War II","Dice Rolling,Hex-and-Counter,Secret Unit Deployment,Simulation",2004,2,2,180,55,7.92585,5.58737,8,3.625
10256,Thirty Years War: the Great War 1618-1648,"Pike and Shot,Wargame",Area Movement,1995,2,4,120,58,5.96207,5.51638,12,2.75
10257,Battle of Buena Vista,Wargame,Hex-and-Counter,1996,2,2,90,39,5.25641,5.48731,7,2.8571
10258,Strike North,"Wargame,World War II",Hex-and-Counter,1996,2,2,120,39,6.03846,5.50709,9,2.6667
10261,Blitzkrieg 1940,"Wargame,World War II","Dice Rolling,Hex-and-Counter",1997,2,2,120,57,6.52719,5.53541,10,2.5
10262,The Chaco War,Wargame,Hex-and-Counter,1991,2,2,90,93,6.53441,5.56044,17,2.7059
10264,First Afghan War,"Post-Napoleonic,Wargame",Hex-and-Counter,1996,2,2,90,46,6.37935,5.52665,10,2.6
10265,Molotov's War,"Wargame,World War II",Hex-and-Counter,1995,2,2,120,58,5.99741,5.52118,8,2.375
10267,Africa Orientale,"Wargame,World War II",Hex-and-Counter,1989,2,2,120,90,6.27833,5.53678,16,3.1875
10268,Soldier's Companion,"Fantasy,Miniatures,Science Fiction,Wargame","Dice Rolling,Role Playing",1989,2,2,120,39,7.05128,5.54247,2,3
10269,Balkan Wars,"Post-Napoleonic,Wargame","Dice Rolling,Hex-and-Counter,Simulation",1993,2,2,120,84,6.5619,5.55578,19,2.9474
10270,Media Mogul,"Economic,Movies / TV / Radio theme","Action Point Allowance System,Auction/Bidding,Card Drafting,Hand Management",2004,3,5,90,32,4.69688,5.48076,3,2.6667
10272,Thirty Years War Quad (second edition),"Pike and Shot,Wargame","Hex-and-Counter,Simulation",1995,1,2,180,101,6.77178,5.59329,10,2.3
10283,Monkey Madness,"Animals,Children's Game",Pattern Recognition,2001,2,4,10,135,5.30126,5.482,20,1
10291,Ready! Set! Spaghetti!,"Action / Dexterity,Children's Game,Dice,Puzzle",Dice Rolling,1989,2,4,10,100,5.4727,5.49661,7,1
10293,En Busca Del Imperio Cobra,"Adventure,Fantasy",Roll / Spin and Move,1981,2,4,30,340,5.43627,5.46656,30,1.3
10300,Group of Soviet Forces Germany,"Modern Warfare,Wargame","Hex-and-Counter,Simulation",2003,1,2,240,78,6.60308,5.55772,13,2.5385
10301,"The Battle of Nations: The Encirclement at Leipzig, 16-19 October 1813","Napoleonic,Wargame","Hex-and-Counter,Simulation",1975,2,2,180,81,6.38642,5.54436,13,2.2308
10303,F*ck This!,"Card Game,Mature / Adult,Party Game,Word Game","Co-operative Play,Set Collection,Trick-taking",2003,2,6,30,36,4.85833,5.48566,5,1
10304,Julius Caesar,"Ancient,Wargame","Dice Rolling,Hex-and-Counter",1985,2,2,300,78,5.95128,5.52261,8,3.375
10308,The Campaigns of Frederick the Great,"Age of Reason,Wargame","Dice Rolling,Hex-and-Counter",1993,1,4,180,61,6.27213,5.52869,9,2.4444
